Cuisine,NumberOfReviews,Rating,RestaurantId
chinese,193,4.5,pBNMZp_tKCAfRNx7-ybcHQ
chinese,1353,4.0,97q5nUQTuBo_h00XCxna2A
chinese,3376,4.0,nI1UYDCYUTt23TpGxqnLKg
chinese,149,4.0,oowNI_aUmGEFa_VW8BFgRg
chinese,1771,4.0,M-odQWSEfsR2mVEw7nKG-g
chinese,22,5.0,tA_AoGEL_oGllbU2j77Shw
chinese,35,4.0,k8GFfCXO2FIIJIo0ICYSRA
chinese,777,4.0,bnDfFdiCcPzhuNWUJORvLQ
chinese,8,4.0,_H3TdSWEknP3LQ5NRRt7eQ
chinese,1290,4.0,R26zweQ8-xoZS7iHkXQOvw
chinese,422,4.5,LpVbI-E9C-CSp7WhU5h2Iw
chinese,157,4.0,iSjPBJRiWqrgxW7ZM3CGig
chinese,472,4.0,0k678lCWQyReNi0lARlOmw
chinese,647,4.0,bVkjBJlAIwKAj9Aw1KVWjA
chinese,1308,4.0,HScFap2SwbUlfC-QXVkxFA
chinese,943,4.5,X8ZS-dgiMIJvhwf9SaDnjw
chinese,656,4.0,U74_3F7r3tMhd6dmTmDBxQ
chinese,101,4.0,lSrdxUNxyMgh5YU903JUiw
chinese,59,4.5,ZCAkVl5SeCDeBWg_xjfYeg
chinese,12,4.0,o2z5T8jD7p3kauFwjt_WNw
chinese,51,4.5,rPTX2J5KGDkN1QhPD-QOvg
chinese,355,4.0,7ZQSMqWzvXMSetXnii2fBg
chinese,168,4.5,A-ert0jDRBfku9ogyW_mEg
chinese,114,4.5,pepM7-yv4-jCT6S1nl6fPg
chinese,256,4.0,yv9RbEsbXLhW7bv4ghBl3w
chinese,689,3.5,EFihj7vsRRXiF5la-UURyw
chinese,17,3.5,Cj1RTtW3zZF_eDqYRZBMYQ
chinese,124,4.0,-lgNzAEyFr8LCTuBTWnAMg
chinese,1262,3.5,6hacsz7FUwprKTjJb6KFog
chinese,1045,4.0,H1jops1lmuhrq9lP7lEGJQ
chinese,470,4.0,oe8GEFE4QLFAKt87y7zcgA
chinese,243,4.0,za9mYaRVWkwKkQfjRgvU0g
chinese,50,4.0,8xDbEfYXuPwi-94LLcb22A
chinese,140,4.0,6wJOojpF2c4lLeBNbTBB0A
chinese,87,4.0,eVDV1ALwvre01Xo8v6BCoQ
chinese,209,4.0,dv-RaOwKFizDe4c5-sVJ5w
chinese,190,4.0,V9cBgn2RFLurwg6lwuLH7w
chinese,580,4.0,C7CFAdrczXxNhnN-MNJqmw
chinese,405,4.0,ojbH3wnRu050hRhkmoxRiA
chinese,124,4.5,9-vKFnUby_6-pR6UJxjzMw
chinese,359,4.0,ynB8T3htx8s5V0YV8gVPGA
chinese,1091,3.5,d_TC6Om2EBTzHVm_lCgNtg
chinese,27,4.0,4zuvAX0g_h_vBgE34oALhg
chinese,169,4.0,hh0W5CPtx2MoyQGb1kAEEA
chinese,268,4.0,tsHdT1GDibhYYA0JA7Z9tg
chinese,165,3.5,jpK6MMfLJwLXCzTeywyNNA
chinese,493,4.0,3K7Kc82bhU6-qjAjsBs3Fw
chinese,97,4.0,jc7lVTvmYMIK5RNpENtS6w
chinese,5,4.5,SprPbseDvZBcWCfh_ZZt5g
chinese,23,4.0,_FeMTFEx8aHOaSusblkVzA
chinese,18,4.5,5tWpAFpF618KJxBhHJzF7g
chinese,348,3.5,scTDvJ2M2jDbb1ntVeIyxA
chinese,57,4.5,ZpifrJsBsz7RUT1_Tyu9nQ
chinese,11,4.5,i6RhqnCJ_oUfTu5LikGXUg
chinese,14,3.5,a93NwZxjkPQydJxR42oPyg
chinese,12,4.5,3kq1_dUIPrA6BFTuX-M6mw
chinese,292,4.0,FXhSEZfIqjMZh4hR0_8jMQ
chinese,142,4.0,WRPJeH3goSpj5ke3Pkrnfw
chinese,43,4.5,c1HgKFOT4Cc7TqWQD5mQBQ
japanese,71,4.5,XfHgiIsoo1Pr_v04bx9ptg
chinese,912,3.5,SNhDVaf_n7VDZcfry8mYdA
chinese,122,4.5,MFYh1htbCY8naZfkdF9rEQ
chinese,119,3.5,Myp2rEB3yEcdaZIRe0S3Ww
chinese,288,4.0,kNOr6_g6QfBHdhf89j3g5w
chinese,26,4.0,sxv1oJxG8uu6u4tjKHiJMA
chinese,524,4.0,kwqOmEwWJ0D9PyCdFGE3-g
chinese,630,3.5,kWJF8L1u5jdlkLBItUu16w
chinese,262,4.5,0vg2Z-HPwkyVVX613j2ysg
chinese,403,4.0,UiBQ8Uyu4wfOtEM1Rr8ycA
chinese,67,4.5,0dDCDQz7DrKkSvu9h2hcQw
chinese,481,4.0,1MqGlFP3b7H77fzUkJMKgw
chinese,165,4.0,MdDj13LgIs0WdbIdiyqB7Q
chinese,129,4.5,9FwX2ye1eCxnPVoQOHHr3g
chinese,224,4.0,2rqb2T5IS2D7A6UB5QwNKw
chinese,102,4.0,D13m2P0qKQUWNqIW-lpHZg
chinese,2020,3.5,x_t-FtDa5HVgc-wecp0HBg
chinese,54,4.5,d6pcRMV1YUDFTKO_p9d-sA
chinese,15,4.5,p2g2v5Fo-WX9tcuCs5PjDw
chinese,2,5.0,8Ma7tPa4s3iVabqeGCyZdg
chinese,327,4.5,R7EGjHWw0tNheY6-ahH8fQ
chinese,464,4.0,B87c3bE_u53yNYO1cmHSIw
chinese,302,4.0,XiIBASyS65DX3E_staW0JQ
chinese,176,4.0,AfF4zVbVI27zwgkzOLYDFg
chinese,84,4.0,Q1TpfbuPwKPFrNFyu-u2_g
chinese,156,4.0,5YBYGnZtTGJABXC4Jahhzg
chinese,21,4.0,_CcEaSKTpzZIczrRzCRAPQ
chinese,290,4.5,m2_ZNFos5ugAwe8ft8eaEw
chinese,87,3.5,1YGpTYD8xIuUpK_beMhzSw
chinese,206,4.0,sMoKKcyUslHmHe0NmCYgfg
chinese,12,3.5,BbODF2tZuw4xW_RFwMzwRg
chinese,11,4.5,tEPnkxyyzxP-xYTDFEW6Qw
chinese,1139,3.5,zubN8Ve-RyoljRZV4NRxEQ
chinese,91,4.5,_Ge2eC89Z-jlaDDWglfT8g
chinese,160,4.0,WIj12zDqIbBucW1hXYhrew
chinese,49,5.0,f7QVr9xC8UWXdVz9QvbmNg
chinese,127,4.0,RoPrfBqmRTqw_cBqcWAfYA
chinese,85,3.5,kbUZnWtro1h8BuPcSOd74g
chinese,209,4.0,3Rah-cvFk79duFQ83voQ5A
chinese,22,3.5,Ypz7j5vm0kZ2XqpjGjbHNw
chinese,178,4.0,x64xHVZoQj1ZOjzPqVprkw
chinese,482,4.5,lynQoI3w_pzYfHGeuUU-Qg
chinese,8,4.5,qgNTehLIqShtah57dFLPKQ
chinese,1099,3.5,SyvC0s3y0ZrtnLbwnvw7tw
chinese,235,4.0,Lp8vAE5nHSt5zbu-lSGK8A
chinese,1751,3.5,B3i4zs5wquFu1UZyzYJ-bQ
chinese,1354,3.5,rYw5rQbWRX9buZHZbxqWdA
chinese,871,3.5,84zvcPTAVCsSVtzCUtSDtA
chinese,47,4.0,P_a_taGxqxvkzdzp51Bm7A
chinese,67,4.0,neabGe_cEiXaNE1rESYPjw
chinese,6,4.5,0kKYP-_ScvaHi0LUqg-iBA
chinese,325,4.0,6tASYtO9zOrXr8-LPnAToQ
chinese,48,4.0,8td6qiBvZ-En6gSpPjXWzQ
chinese,66,3.5,LqMHxKckcnSRWrJ6T_irnw
chinese,44,4.0,RoqLH-4rDugHlduthnZggg
chinese,41,4.0,qbLLdO0VEAWXGnygtQfoDQ
chinese,703,3.0,Te2iLepC0UrJRzVKexFukQ
chinese,91,4.0,DKGUSLiqNchBNatKoPM9QQ
chinese,179,4.0,lQ8Fzgji9qmgRXkFcvAsVQ
chinese,268,3.5,wDRgZ1i7xcJ51xgtfO-fxQ
chinese,39,4.0,DOa_Hm5HHT99GOvlhbydaQ
chinese,3,4.5,EiCGsUE6ME51Y7XI-NBINw
