bestAnswer,score,Cuisine,NumberOfReviews,Rating,RestaurantId
1,6.06E-01,chinese,193,4.5,pBNMZp_tKCAfRNx7-ybcHQ
1,9.98E-01,chinese,1353,4,97q5nUQTuBo_h00XCxna2A
1,9.99E-01,chinese,3376,4,nI1UYDCYUTt23TpGxqnLKg
1,9.73E-01,chinese,149,4,oowNI_aUmGEFa_VW8BFgRg
1,9.99E-01,chinese,1771,4,M-odQWSEfsR2mVEw7nKG-g
0,4.61E-02,chinese,22,5,tA_AoGEL_oGllbU2j77Shw
1,9.48E-01,chinese,35,4,k8GFfCXO2FIIJIo0ICYSRA
1,9.98E-01,chinese,777,4,bnDfFdiCcPzhuNWUJORvLQ
1,9.49E-01,chinese,8,4,_H3TdSWEknP3LQ5NRRt7eQ
1,9.98E-01,chinese,1290,4,R26zweQ8-xoZS7iHkXQOvw
1,6.06E-01,chinese,422,4.5,LpVbI-E9C-CSp7WhU5h2Iw
1,9.73E-01,chinese,157,4,iSjPBJRiWqrgxW7ZM3CGig
1,9.73E-01,chinese,472,4,0k678lCWQyReNi0lARlOmw
1,9.95E-01,chinese,647,4,bVkjBJlAIwKAj9Aw1KVWjA
1,9.98E-01,chinese,1308,4,HScFap2SwbUlfC-QXVkxFA
1,9.48E-01,chinese,943,4.5,X8ZS-dgiMIJvhwf9SaDnjw
1,9.95E-01,chinese,656,4,U74_3F7r3tMhd6dmTmDBxQ
1,9.73E-01,chinese,101,4,lSrdxUNxyMgh5YU903JUiw
0,4.35E-01,chinese,59,4.5,ZCAkVl5SeCDeBWg_xjfYeg
1,9.51E-01,chinese,12,4,o2z5T8jD7p3kauFwjt_WNw
0,4.35E-01,chinese,51,4.5,rPTX2J5KGDkN1QhPD-QOvg
1,9.73E-01,chinese,355,4,7ZQSMqWzvXMSetXnii2fBg
1,6.06E-01,chinese,168,4.5,A-ert0jDRBfku9ogyW_mEg
1,6.06E-01,chinese,114,4.5,pepM7-yv4-jCT6S1nl6fPg
1,9.73E-01,chinese,256,4,yv9RbEsbXLhW7bv4ghBl3w
0,3.54E-01,chinese,689,3.5,EFihj7vsRRXiF5la-UURyw
0,4.91E-02,chinese,17,3.5,Cj1RTtW3zZF_eDqYRZBMYQ
1,9.73E-01,chinese,124,4,#NAME?
1,5.38E-01,chinese,1262,3.5,6hacsz7FUwprKTjJb6KFog
1,9.98E-01,chinese,1045,4,H1jops1lmuhrq9lP7lEGJQ
1,9.73E-01,chinese,470,4,oe8GEFE4QLFAKt87y7zcgA
1,9.73E-01,chinese,243,4,za9mYaRVWkwKkQfjRgvU0g
1,9.48E-01,chinese,50,4,8xDbEfYXuPwi-94LLcb22A
1,9.73E-01,chinese,140,4,6wJOojpF2c4lLeBNbTBB0A
1,9.73E-01,chinese,87,4,eVDV1ALwvre01Xo8v6BCoQ
1,9.73E-01,chinese,209,4,dv-RaOwKFizDe4c5-sVJ5w
1,9.73E-01,chinese,190,4,V9cBgn2RFLurwg6lwuLH7w
1,9.97E-01,chinese,580,4,C7CFAdrczXxNhnN-MNJqmw
1,9.73E-01,chinese,405,4,ojbH3wnRu050hRhkmoxRiA
1,6.06E-01,chinese,124,4.5,9-vKFnUby_6-pR6UJxjzMw
1,9.73E-01,chinese,359,4,ynB8T3htx8s5V0YV8gVPGA
1,5.38E-01,chinese,1091,3.5,d_TC6Om2EBTzHVm_lCgNtg
1,9.48E-01,chinese,27,4,4zuvAX0g_h_vBgE34oALhg
1,9.73E-01,chinese,169,4,hh0W5CPtx2MoyQGb1kAEEA
1,9.73E-01,chinese,268,4,tsHdT1GDibhYYA0JA7Z9tg
0,8.81E-02,chinese,165,3.5,jpK6MMfLJwLXCzTeywyNNA
1,9.73E-01,chinese,493,4,3K7Kc82bhU6-qjAjsBs3Fw
1,9.73E-01,chinese,97,4,jc7lVTvmYMIK5RNpENtS6w
0,4.40E-01,chinese,5,4.5,SprPbseDvZBcWCfh_ZZt5g
1,9.48E-01,chinese,23,4,_FeMTFEx8aHOaSusblkVzA
0,4.51E-01,chinese,18,4.5,5tWpAFpF618KJxBhHJzF7g
0,8.81E-02,chinese,348,3.5,scTDvJ2M2jDbb1ntVeIyxA
0,4.35E-01,chinese,57,4.5,ZpifrJsBsz7RUT1_Tyu9nQ
0,4.51E-01,chinese,11,4.5,i6RhqnCJ_oUfTu5LikGXUg
0,4.91E-02,chinese,14,3.5,a93NwZxjkPQydJxR42oPyg
0,4.51E-01,chinese,12,4.5,3kq1_dUIPrA6BFTuX-M6mw
1,9.73E-01,chinese,292,4,FXhSEZfIqjMZh4hR0_8jMQ
1,9.73E-01,chinese,142,4,WRPJeH3goSpj5ke3Pkrnfw
0,4.35E-01,chinese,43,4.5,c1HgKFOT4Cc7TqWQD5mQBQ
1,6.34E-01,japanese,71,4.5,XfHgiIsoo1Pr_v04bx9ptg
1,5.33E-01,chinese,912,3.5,SNhDVaf_n7VDZcfry8mYdA
1,6.06E-01,chinese,122,4.5,MFYh1htbCY8naZfkdF9rEQ
0,8.81E-02,chinese,119,3.5,Myp2rEB3yEcdaZIRe0S3Ww
1,9.73E-01,chinese,288,4,kNOr6_g6QfBHdhf89j3g5w
1,9.48E-01,chinese,26,4,sxv1oJxG8uu6u4tjKHiJMA
1,9.97E-01,chinese,524,4,kwqOmEwWJ0D9PyCdFGE3-g
0,4.80E-01,chinese,630,3.5,kWJF8L1u5jdlkLBItUu16w
1,6.06E-01,chinese,262,4.5,0vg2Z-HPwkyVVX613j2ysg
1,9.73E-01,chinese,403,4,UiBQ8Uyu4wfOtEM1Rr8ycA
0,4.35E-01,chinese,67,4.5,0dDCDQz7DrKkSvu9h2hcQw
1,9.73E-01,chinese,481,4,1MqGlFP3b7H77fzUkJMKgw
1,9.73E-01,chinese,165,4,MdDj13LgIs0WdbIdiyqB7Q
1,6.06E-01,chinese,129,4.5,9FwX2ye1eCxnPVoQOHHr3g
1,9.73E-01,chinese,224,4,2rqb2T5IS2D7A6UB5QwNKw
1,9.73E-01,chinese,102,4,D13m2P0qKQUWNqIW-lpHZg
1,6.82E-01,chinese,2020,3.5,x_t-FtDa5HVgc-wecp0HBg
0,4.35E-01,chinese,54,4.5,d6pcRMV1YUDFTKO_p9d-sA
0,4.51E-01,chinese,15,4.5,p2g2v5Fo-WX9tcuCs5PjDw
0,1.65E-02,chinese,2,5,8Ma7tPa4s3iVabqeGCyZdg
1,6.06E-01,chinese,327,4.5,R7EGjHWw0tNheY6-ahH8fQ
1,9.73E-01,chinese,464,4,B87c3bE_u53yNYO1cmHSIw
1,9.73E-01,chinese,302,4,XiIBASyS65DX3E_staW0JQ
1,9.73E-01,chinese,176,4,AfF4zVbVI27zwgkzOLYDFg
1,9.73E-01,chinese,84,4,Q1TpfbuPwKPFrNFyu-u2_g
1,9.73E-01,chinese,156,4,5YBYGnZtTGJABXC4Jahhzg
1,9.48E-01,chinese,21,4,_CcEaSKTpzZIczrRzCRAPQ
1,6.06E-01,chinese,290,4.5,m2_ZNFos5ugAwe8ft8eaEw
0,8.81E-02,chinese,87,3.5,1YGpTYD8xIuUpK_beMhzSw
1,9.73E-01,chinese,206,4,sMoKKcyUslHmHe0NmCYgfg
0,4.91E-02,chinese,12,3.5,BbODF2tZuw4xW_RFwMzwRg
0,4.51E-01,chinese,11,4.5,tEPnkxyyzxP-xYTDFEW6Qw
